Model Number,L,R,I_DC_Vortex,rango_I_in,I_th,T_relax,Accuracy_Train,Accuracy_Test
1,3e-09,6e-08,0.002,4,0.00011782048189363212,6.691134273395166e-13,0.9448584202682563,0.92
2,3e-09,6e-08,0.003,4,0.00011782048189363212,4.369580660457366e-13,0.9437406855439643,0.9133333333333333
3,3e-09,6e-08,0.004,4,0.00011782048189363212,3.2440323337821637e-13,0.9470938897168405,0.9366666666666666
4,3e-09,6e-08,0.005,4,0.00011782048189363212,2.5795683742429595e-13,0.9456035767511177,0.9233333333333333
5,3e-09,6e-08,0.006,4,0.00011782048189363212,2.141028821632808e-13,0.9470938897168405,0.9366666666666666
6,3e-09,6e-08,0.007,4,0.00011782048189363212,1.8299313246843543e-13,0.9444858420268256,0.9233333333333333
7,3e-09,6e-08,0.008,4,0.00011782048189363212,1.5977707502543033e-13,0.9433681073025335,0.9166666666666666
8,3e-09,7e-08,0.002,4,0.00016036676702188817,9.318008901168447e-13,0.9478390461997019,0.93
9,3e-09,7e-08,0.003,4,0.00016036676702188817,6.036596078923077e-13,0.944113263785395,0.9233333333333333
10,3e-09,7e-08,0.004,4,0.00016036676702188817,4.46441568755769e-13,0.9426229508196722,0.91
11,3e-09,7e-08,0.005,4,0.00016036676702188817,3.541945848906204e-13,0.9459761549925484,0.9266666666666666
12,3e-09,7e-08,0.006,4,0.00016036676702188817,2.9354101800385417e-13,0.9456035767511177,0.9233333333333333
13,3e-09,7e-08,0.007,4,0.00016036676702188817,2.506233632108295e-13,0.9444858420268256,0.9266666666666666
14,3e-09,7e-08,0.008,4,0.00016036676702188817,2.186546019483051e-13,0.9459761549925484,0.9233333333333333
15,3e-09,7.5e-08,0.002,4,0.0001840945029588002,1.0836463460313078e-12,0.9459761549925484,0.9366666666666666
16,3e-09,7.5e-08,0.003,4,0.0001840945029588002,6.988158369215582e-13,0.944113263785395,0.92
17,3e-09,7.5e-08,0.004,4,0.0001840945029588002,5.156834617976431e-13,0.9429955290611028,0.9233333333333333
18,3e-09,7.5e-08,0.005,4,0.0001840945029588002,4.0860422984127084e-13,0.9452309985096871,0.9333333333333333
19,3e-09,7.5e-08,0.006,4,0.0001840945029588002,3.3834789055770697e-13,0.9426229508196722,0.9166666666666666
20,3e-09,7.5e-08,0.007,4,0.0001840945029588002,2.887069601333364e-13,0.9448584202682563,0.9266666666666666
21,3e-09,7.5e-08,0.008,4,0.0001840945029588002,2.517685708139377e-13,0.9444858420268256,0.92
22,3e-09,8e-08,0.002,4,0.00020945863447756823,1.2504142167189979e-12,0.9478390461997019,0.9366666666666666
23,3e-09,8e-08,0.003,4,0.00020945863447756823,8.023240245548329e-13,0.9470938897168405,0.93
24,3e-09,8e-08,0.004,4,0.00020945863447756823,5.906592655701351e-13,0.9444858420268256,0.9266666666666666
25,3e-09,8e-08,0.005,4,0.00020945863447756823,4.673622891947478e-13,0.9478390461997019,0.92
26,3e-09,8e-08,0.006,4,0.00020945863447756823,3.866509602026991e-13,0.9459761549925484,0.93
27,3e-09,8e-08,0.007,4,0.00020945863447756823,3.2971132322974147e-13,0.9448584202682563,0.9366666666666666
28,3e-09,8e-08,0.008,4,0.00020945863447756823,2.8738931917891886e-13,0.9433681073025335,0.93
29,3e-09,8.5e-08,0.002,4,0.0002364591615781922,1.4332126006432153e-12,0.9433681073025335,0.9266666666666666
30,3e-09,8.5e-08,0.003,4,0.0002364591615781922,9.145980100002602e-13,0.9444858420268256,0.9233333333333333
31,3e-09,8.5e-08,0.004,4,0.0002364591615781922,6.715827089138011e-13,0.9448584202682563,0.9366666666666666
32,3e-09,8.5e-08,0.005,4,0.0002364591615781922,5.305987787463628e-13,0.9418777943368107,0.9233333333333333
33,3e-09,8.5e-08,0.006,4,0.0002364591615781922,4.385375279247838e-13,0.9422503725782414,0.92
34,3e-09,8.5e-08,0.007,4,0.0002364591615781922,3.7369907445769257e-13,0.9444858420268256,0.93
35,3e-09,8.5e-08,0.008,4,0.0002364591615781922,3.2556394098763295e-13,0.9463487332339792,0.9266666666666666
36,3e-09,9e-08,0.002,4,0.0002650960842606723,1.633307209584764e-12,0.9470938897168405,0.9166666666666666
37,3e-09,9e-08,0.003,4,0.0002650960842606723,1.0360989492926537e-12,0.9478390461997019,0.9333333333333333
38,3e-09,9e-08,0.004,4,0.0002650960842606723,7.586891490227164e-13,0.9456035767511177,0.9333333333333333
39,3e-09,9e-08,0.005,4,0.0002650960842606723,5.984558766007032e-13,0.944113263785395,0.9333333333333333
40,3e-09,9e-08,0.006,4,0.0002650960842606723,4.941026240626349e-13,0.9448584202682563,0.9266666666666666
41,3e-09,9e-08,0.007,4,0.0002650960842606723,4.207381588461487e-13,0.9444858420268256,0.9233333333333333
42,3e-09,9e-08,0.008,4,0.0002650960842606723,3.663434096120939e-13,0.9459761549925484,0.9433333333333334
43,3e-09,9.5e-08,0.002,4,0.00029536940252500836,1.852146001700261e-12,0.9478390461997019,0.9166666666666666
44,3e-09,9.5e-08,0.003,4,0.00029536940252500836,1.1673404672848028e-12,0.9433681073025335,0.9266666666666666
45,3e-09,9.5e-08,0.004,4,0.00029536940252500836,8.522373992271021e-13,0.9470938897168405,0.92
46,3e-09,9.5e-08,0.005,4,0.00029536940252500836,6.710887667107674e-13,0.9448584202682563,0.93
47,3e-09,9.5e-08,0.006,4,0.00029536940252500836,5.534494638244756e-13,0.9448584202682563,0.92
48,3e-09,9.5e-08,0.007,4,0.00029536940252500836,4.709021175123749e-13,0.944113263785395,0.9233333333333333
49,3e-09,9.5e-08,0.008,4,0.00029536940252500836,4.097827540912782e-13,0.944113263785395,0.9166666666666666
50,3e-09,1e-07,0.002,4,0.0003272791163712003,2.0913889469185416e-12,0.9437406855439643,0.9366666666666666
51,3e-09,1e-07,0.003,4,0.0003272791163712003,1.3088946132494655e-12,0.9478390461997019,0.9266666666666666
52,3e-09,1e-07,0.004,4,0.0003272791163712003,9.525117966069378e-13,0.9459761549925484,0.92
53,3e-09,1e-07,0.005,4,0.0003272791163712003,7.486665808689019e-13,0.9467213114754098,0.94
54,3e-09,1e-07,0.006,4,0.0003272791163712003,6.166899516239274e-13,0.9459761549925484,0.9433333333333334
55,3e-09,1e-07,0.007,4,0.0003272791163712003,5.242703880937121e-13,0.948956780923994,0.93
56,3e-09,1e-07,0.008,4,0.0003272791163712003,4.559412521789231e-13,0.9470938897168405,0.9333333333333333

1,4e-09,6e-08,0.002,4,0.00015709397585817616,9.111635440480267e-13,0.9459761549925484,0.92
2,4e-09,6e-08,0.003,4,0.00015709397585817616,5.906592655701351e-13,0.9433681073025335,0.9266666666666666
3,4e-09,6e-08,0.004,4,0.00015709397585817616,4.369580660457367e-13,0.9456035767511177,0.9266666666666666
4,4e-09,6e-08,0.005,4,0.00015709397585817616,3.4673164747236225e-13,0.944113263785395,0.9233333333333333
5,4e-09,6e-08,0.006,4,0.00015709397585817616,2.8738931917891886e-13,0.9456035767511177,0.9333333333333333
6,4e-09,6e-08,0.007,4,0.00015709397585817616,2.45391180060099e-13,0.9448584202682563,0.9333333333333333
7,4e-09,6e-08,0.008,4,0.00015709397585817616,2.1410288216328084e-13,0.9426229508196722,0.9233333333333333
8,4e-09,7e-08,0.002,4,0.00021382235602918428,1.2795829797136285e-12,0.9478390461997019,0.9366666666666666
9,4e-09,7e-08,0.003,4,0.00021382235602918428,8.20321890427883e-13,0.9482116244411326,0.9233333333333333
10,4e-09,7e-08,0.004,4,0.00021382235602918428,6.03659607892308e-13,0.9478390461997019,0.9366666666666666
11,4e-09,7e-08,0.005,4,0.00021382235602918428,4.775339910020234e-13,0.9470938897168405,0.94
12,4e-09,7e-08,0.006,4,0.00021382235602918428,3.9500386137497796e-13,0.9459761549925484,0.92
13,4e-09,7e-08,0.007,4,0.00021382235602918428,3.3679674065129345e-13,0.9463487332339792,0.92
14,4e-09,7e-08,0.008,4,0.00021382235602918428,2.935410180038543e-13,0.9482116244411326,0.93
15,4e-09,7.5e-08,0.002,4,0.00024545933727840026,1.495395650395442e-12,0.9478390461997019,0.93
16,4e-09,7.5e-08,0.003,4,0.00024545933727840026,9.525117966069378e-13,0.9437406855439643,0.9266666666666666
17,4e-09,7.5e-08,0.004,4,0.00024545933727840026,6.988158369215582e-13,0.9448584202682563,0.9233333333333333
18,4e-09,7.5e-08,0.005,4,0.00024545933727840026,5.518372144858124e-13,0.9459761549925484,0.9266666666666666
19,4e-09,7.5e-08,0.006,4,0.00024545933727840026,4.559412521789231e-13,0.9467213114754098,0.93
20,4e-09,7.5e-08,0.007,4,0.00024545933727840026,3.8843980760323653e-13,0.9452309985096871,0.93
21,4e-09,7.5e-08,0.008,4,0.00024545933727840026,3.3834789055770697e-13,0.9456035767511177,0.94
22,4e-09,8e-08,0.002,4,0.00027927817930342437,1.7348675826182039e-12,0.9452309985096871,0.9333333333333333
23,4e-09,8e-08,0.003,4,0.00027927817930342437,1.0972178348854376e-12,0.9459761549925484,0.9333333333333333
24,4e-09,8e-08,0.004,4,0.00027927817930342437,8.023240245548331e-13,0.944113263785395,0.9366666666666666
25,4e-09,8e-08,0.005,4,0.00027927817930342437,6.323661123903657e-13,0.944113263785395,0.9266666666666666
26,4e-09,8e-08,0.006,4,0.00027927817930342437,5.218265454947032e-13,0.9448584202682563,0.9266666666666666
27,4e-09,8e-08,0.007,4,0.00027927817930342437,4.44182125830177e-13,0.9437406855439643,0.9266666666666666
28,4e-09,8e-08,0.008,4,0.00027927817930342437,3.8665096020269914e-13,0.9493293591654247,0.9233333333333333
29,4e-09,8.5e-08,0.002,4,0.0003152788821042564,2.000353985021948e-12,0.9463487332339792,0.9266666666666666
30,4e-09,8.5e-08,0.003,4,0.0003152788821042564,1.2552658000004049e-12,0.9470938897168405,0.93
31,4e-09,8.5e-08,0.004,4,0.0003152788821042564,9.145980100002604e-13,0.9478390461997019,0.9266666666666666
32,4e-09,8.5e-08,0.005,4,0.0003152788821042564,7.193680300327284e-13,0.9474664679582713,0.93
33,4e-09,8.5e-08,0.006,4,0.0003152788821042564,5.928239102573312e-13,0.9474664679582713,0.9266666666666666
34,4e-09,8.5e-08,0.007,4,0.0003152788821042564,5.04140493282721e-13,0.9444858420268256,0.9233333333333333
35,4e-09,8.5e-08,0.008,4,0.0003152788821042564,4.3853752792478403e-13,0.9497019374068555,0.9233333333333333
36,4e-09,9e-08,0.002,4,0.0003534614456808964,2.294616639722458e-12,0.9470938897168405,0.9266666666666666
37,4e-09,9e-08,0.003,4,0.0003534614456808964,1.427591054178773e-12,0.9467213114754098,0.9233333333333333
38,4e-09,9e-08,0.004,4,0.0003534614456808964,1.0360989492926537e-12,0.9456035767511177,0.93
39,4e-09,9e-08,0.005,4,0.0003534614456808964,8.131159831167748e-13,0.948956780923994,0.9233333333333333
40,4e-09,9e-08,0.006,4,0.0003534614456808964,6.691134273395167e-13,0.9470938897168405,0.9233333333333333
41,4e-09,9e-08,0.007,4,0.0003534614456808964,5.684424657749128e-13,0.9444858420268256,0.93
42,4e-09,9e-08,0.008,4,0.0003534614456808964,4.941026240626349e-13,0.9467213114754098,0.9433333333333334
43,4e-09,9.5e-08,0.002,4,0.00039382587003334446,2.6209069835242806e-12,0.9478390461997019,0.9266666666666666
44,4e-09,9.5e-08,0.003,4,0.00039382587003334446,1.615253925507849e-12,0.9497019374068555,0.9266666666666666
45,4e-09,9.5e-08,0.004,4,0.00039382587003334446,1.1673404672848028e-12,0.9444858420268256,0.9333333333333333
46,4e-09,9.5e-08,0.005,4,0.00039382587003334446,9.139109541254181e-13,0.9463487332339792,0.9266666666666666
47,4e-09,9.5e-08,0.006,4,0.00039382587003334446,7.508923013082866e-13,0.9444858420268256,0.9333333333333333
48,4e-09,9.5e-08,0.007,4,0.00039382587003334446,6.372270713982665e-13,0.9452309985096871,0.9266666666666666
49,4e-09,9.5e-08,0.008,4,0.00039382587003334446,5.534494638244756e-13,0.9467213114754098,0.9266666666666666
50,4e-09,1e-07,0.002,4,0.0004363721551616005,2.983071262853374e-12,0.9433681073025335,0.93
