Model Number,L,R,I_DC_Vortex,rango_I_in,I_th,T_relax,Accuracy_Train,Accuracy_Test
1,2e-09,5e-08,0.001,4,0.0001829945587396012,1.928220181622911e-10,0.9344262295081968,0.9033333333333333
2,2e-09,5.25e-08,0.001,4,0.00020175150101041036,2.175815471644153e-10,0.9280923994038748,0.9
3,2e-09,5.4999999999999996e-08,0.001,4,0.00022142341607491744,2.448305484085301e-10,0.9288375558867362,0.9133333333333333
4,2e-09,5.75e-08,0.001,4,0.0002420103039331226,2.748615250052077e-10,0.9336810730253353,0.9
5,2e-09,6e-08,0.001,4,0.0002635121645850257,3.080196954512907e-10,0.9321907600596125,0.9
6,2e-09,6.25e-08,0.001,4,0.0002859289980306269,3.4471501608148235e-10,0.9329359165424739,0.89
7,2e-09,6.5e-08,0.001,4,0.000309260804269926,3.854376875125111e-10,0.9321907600596125,0.9066666666666666
8,2e-09,6.75e-08,0.001,4,0.00033350758330292325,4.3077837890295203e-10,0.9269746646795827,0.8933333333333333
9,2e-09,6.999999999999999e-08,0.001,4,0.00035866933512961833,4.814549302860417e-10,0.9247391952309985,0.89
10,2e-09,7.25e-08,0.001,4,0.00038474605975001157,5.383480865326105e-10,0.9131892697466468,0.8666666666666667
11,2e-09,7.5e-08,0.001,4,0.0004117377571641027,6.025500359608112e-10,0.9232488822652757,0.8933333333333333
12,2e-09,7.75e-08,0.001,4,0.0004396444273718919,6.754314427536511e-10,0.9131892697466468,0.88
13,2e-09,8e-08,0.001,4,0.00046846607037337906,7.587357474033849e-10,0.90424739195231,0.8733333333333333
14,2e-09,8.25e-08,0.001,4,0.0004982026861685643,8.547146132990557e-10,0.8960506706408345,0.8633333333333333
15,2e-09,8.500000000000001e-08,0.001,4,0.0005288542747574476,9.663271033227579e-10,0.8994038748137109,0.8566666666666667
16,2e-09,8.75e-08,0.001,4,0.0005604208361400286,1.097540542506206e-09,0.8897168405365127,0.8433333333333334
17,2e-09,9e-08,0.001,4,0.000592902370316308,1.2537992609409522e-09,0.8681073025335321,0.82
18,2e-09,9.25e-08,0.001,4,0.0006262988772862852,1.4427817068196763e-09,0.8688524590163934,0.8466666666666667
19,2e-09,9.499999999999999e-08,0.001,4,0.0006606103570499602,1.6756765420337317e-09,0.8282414307004471,0.7633333333333333
20,2e-09,9.749999999999999e-08,0.001,4,0.0006958368096073336,1.9694462875296663e-09,0.7429210134128167,0.6633333333333333
