Model Number,L,R,I_DC_Vortex,rango_I_in,I_th,T_relax,Accuracy_Train,Accuracy_Test
1,3e-09,1.25e-07,0.002,4,9.324183250698778e-05,2.141146999475269e-07,0.9482116244411326,0.9333333333333332
2,3e-09,1.25e-07,0.003,4,9.324183250698778e-05,2.380278007410649e-07,0.9508196721311476,0.9333333333333332
3,3e-09,1.25e-07,0.004,4,9.324183250698778e-05,2.679538519209868e-07,0.9523099850968704,0.9266666666666666
4,3e-09,1.25e-07,0.005,4,9.324183250698778e-05,3.0648692866520066e-07,0.947839046199702,0.93
5,3e-09,1.25e-07,0.006,4,9.324183250698778e-05,3.579638898700209e-07,0.9508196721311476,0.94
6,3e-09,1.25e-07,0.007,4,9.324183250698778e-05,4.302233919399882e-07,0.9508196721311476,0.93
7,3e-09,1.25e-07,0.008,4,9.324183250698778e-05,5.390342097220101e-07,0.9493293591654248,0.9433333333333334
8,3e-09,1.5e-07,0.002,4,0.0001629296668484,1.7489409161919894e-07,0.9497019374068556,0.9366666666666666
9,3e-09,1.5e-07,0.003,4,0.0001629296668484,1.944268936272307e-07,0.9500745156482862,0.9366666666666666
10,3e-09,1.5e-07,0.004,4,0.0001629296668484,2.188712196737131e-07,0.9504470938897168,0.9266666666666666
11,3e-09,1.5e-07,0.005,4,0.0001629296668484,2.503459734207642e-07,0.9511922503725784,0.9333333333333332
12,3e-09,1.5e-07,0.006,4,0.0001629296668484,2.92393606635299e-07,0.9493293591654248,0.9266666666666666
13,3e-09,1.5e-07,0.007,4,0.0001629296668484,3.514169244106768e-07,0.9500745156482862,0.9466666666666668
14,3e-09,1.5e-07,0.008,4,0.0001629296668484,4.402962453493729e-07,0.9515648286140088,0.9466666666666668
15,3e-09,2e-07,0.002,4,0.0003201402336651,1.5506458863610537e-07,0.9541728763040238,0.9233333333333332
16,3e-09,2e-07,0.003,4,0.0003201402336651,1.723827603378728e-07,0.9500745156482862,0.94
17,3e-09,2e-07,0.004,4,0.0003201402336651,1.9405558717720185e-07,0.9500745156482862,0.95
18,3e-09,2e-07,0.005,4,0.0003201402336651,2.2196173138724117e-07,0.9493293591654248,0.9366666666666666
19,3e-09,2e-07,0.006,4,0.0003201402336651,2.592420013332954e-07,0.9508196721311476,0.9266666666666666
20,3e-09,2e-07,0.007,4,0.0003201402336651,3.115732516690978e-07,0.9523099850968704,0.9233333333333332
21,3e-09,2e-07,0.008,4,0.0003201402336651,3.9037542967304854e-07,0.9511922503725784,0.94
22,3e-09,2.25e-07,0.002,4,0.0004050337136696,1.534050419686614e-07,0.952682563338301,0.94
23,3e-09,2.25e-07,0.003,4,0.0004050337136696,1.7053786952198936e-07,0.948956780923994,0.9333333333333332
24,3e-09,2.25e-07,0.004,4,0.0004050337136696,1.919787474175159e-07,0.9500745156482862,0.93
25,3e-09,2.25e-07,0.005,4,0.0004050337136696,2.195862318946509e-07,0.9504470938897168,0.93
26,3e-09,2.25e-07,0.006,4,0.0004050337136696,2.564675174671963e-07,0.952682563338301,0.9366666666666666
27,3e-09,2.25e-07,0.007,4,0.0004050337136696,3.082387034268454e-07,0.9497019374068556,0.9433333333333334
28,3e-09,2.25e-07,0.008,4,0.0004050337136696,3.86197517429743e-07,0.9534277198211624,0.9366666666666666
29,3e-09,2.5e-07,0.002,4,0.0004928338724478,1.538493789631144e-07,0.9504470938897168,0.93
30,3e-09,2.5e-07,0.003,4,0.0004928338724478,1.7103183167219882e-07,0.952682563338301,0.9333333333333332
31,3e-09,2.5e-07,0.004,4,0.0004928338724478,1.925348129713702e-07,0.9515648286140088,0.9333333333333332
32,3e-09,2.5e-07,0.005,4,0.0004928338724478,2.2022226239958866e-07,0.9523099850968704,0.9366666666666666
33,3e-09,2.5e-07,0.006,4,0.0004928338724478,2.5721037444519225e-07,0.9523099850968704,0.9333333333333332
34,3e-09,2.5e-07,0.007,4,0.0004928338724478,3.091315154054945e-07,0.9541728763040238,0.93
35,3e-09,2.5e-07,0.008,4,0.0004928338724478,3.873161367525354e-07,0.9523099850968704,0.9366666666666666
36,3e-09,2.75e-07,0.002,4,0.000582809878996,1.555315481470141e-07,0.9534277198211624,0.9366666666666666
37,3e-09,2.75e-07,0.003,4,0.000582809878996,1.729018715686476e-07,0.9534277198211624,0.9233333333333332
38,3e-09,2.75e-07,0.004,4,0.000582809878996,1.9463996368040216e-07,0.9493293591654248,0.94
39,3e-09,2.75e-07,0.005,4,0.000582809878996,2.2263014409475019e-07,0.9515648286140088,0.93
40,3e-09,2.75e-07,0.006,4,0.000582809878996,2.600226793669738e-07,0.952682563338301,0.9333333333333332
41,3e-09,2.75e-07,0.007,4,0.000582809878996,3.125115193580096e-07,0.9515648286140088,0.94
42,3e-09,2.75e-07,0.008,4,0.000582809878996,3.915510012288386e-07,0.9530551415797316,0.9366666666666666
43,3e-09,3e-07,0.002,4,0.0006743624922625,1.5799214337104968e-07,0.9497019374068556,0.93
44,3e-09,3e-07,0.003,4,0.0006743624922625,1.7563727492878445e-07,0.952682563338301,0.9233333333333332
